agri_class,DEM_mean,Slope_mean,sand_pct,clay_pct,bd_gcm3,SOC_mean
1,228.30864197530863,2.336403507509349,38.15,26.9,1.53,32.0
1,230.52777777777777,2.269682128396299,37.8,27.01,1.54,31.12392562842136
1,228.52777777777777,1.965135380625725,37.75,26.94,1.54,30.67098075358181
1,219.77777777777777,2.057444057767353,38.32,27.16,1.54,31.43506956113423
1,228.30864197530863,1.675458862457746,39.64,26.02,1.51,31.472386204802824
1,228.85185185185185,1.746945749830317,39.76,26.4,1.51,30.000000000000007
1,229.24691358024688,1.925869513441015,40.84,26.38,1.51,30.229457878585105
1,229.51388888888889,2.259255182411936,41.27,26.34,1.52,30.0
1,228.52777777777777,2.070711795654562,41.07,26.76,1.53,30.260427690717407
1,229.08333333333331,1.490941680139966,39.17,25.67,1.53,30.239390811174324
1,229.96296296296296,1.37551588187983,37.04,25.2,1.54,30.248011679585584
1,225.16666666666663,2.273447299997012,37.11,25.47,1.51,30.56640037964699
1,224.72222222222223,1.394883096218109,37.22,25.14,1.51,30.8007013904816
1,223.58024691358025,1.544295670073709,36.63,25.13,1.51,29.004732594080025
1,222.65432098765436,1.352089472023057,39.57,26.76,1.51,29.989075581030644
1,223.14814814814812,1.500983745963485,39.16,26.66,1.51,28.52480840076431
0,220.66666666666663,2.055583497624339,38.64,24.29,1.5,27.650251424107445
0,222.44444444444443,2.103409932719337,38.65,24.35,1.5,29.0
1,222.79166666666663,1.286921455628342,35.04,23.19,1.39,24.890290846221543
1,228.578125,1.811920100823045,40.01,27.09,1.53,32.114131197636745
1,228.125,2.251834227703512,39.5,27.56,1.53,31.54964751790081
1,229.0,1.6461441218853,38.46,27.4,1.51,30.061333264544
1,229.171875,2.155236047692597,38.42,27.84,1.51,30.3598652731091
1,227.9375,2.084986028261483,38.26,27.6,1.51,31.89603597348641
1,228.875,1.527188141830266,38.18,27.62,1.52,32.40232068687623
1,228.90625,1.886807039380074,37.76,27.29,1.52,32.405471631819005
1,227.09722222222223,2.514626228974925,37.2,27.61,1.53,30.54027448559827
1,227.44444444444443,1.884479892750581,37.97,26.01,1.51,29.465021431318963
1,227.75,1.94487067963928,37.5,27.96,1.51,32.0
1,230.15625,1.702898433431983,37.54,27.69,1.51,31.98555043121724
1,228.984375,1.725116427056491,37.42,27.86,1.51,31.411339129721608
1,228.921875,1.49674370046705,38.06,26.79,1.5,30.422081545032693
1,228.359375,1.463005868718028,38.06,26.85,1.51,29.788524610634315
1,229.703125,1.208037069067359,36.79,27.5,1.52,32.0
1,229.171875,1.858501058071852,37.69,27.07,1.54,31.0
1,228.6875,1.285537022165954,37.89,26.74,1.53,30.62085834125685
1,229.3125,2.214404468424618,38.33,27.06,1.53,33.00000000000001
1,227.83333333333331,1.968130622473028,38.36,27.03,1.51,31.928332264884062
1,148.22222222222223,1.52386276511585,38.87,26.38,1.53,30.588660870279416
1,226.90625,1.813637170940638,39.94,25.28,1.52,31.36452646937385
1,227.3125,2.270335453562438,39.74,25.58,1.52,31.46380978761549
1,227.59722222222223,1.610238475104173,39.28,26.81,1.51,31.194310930375124
1,229.71875,1.806507071480155,39.73,27.28,1.51,30.98483718398103
1,229.703125,1.947676964104176,40.83,27.02,1.52,30.41602907314753
1,230.671875,1.960785171948373,37.03,25.21,1.53,30.22561042883892
1,229.34722222222223,2.093010579546293,36.97,25.43,1.54,30.0
1,229.0,1.797565607354045,37.17,25.68,1.55,30.73988993923055
0,144.95833333333334,1.448961011825069,36.01,25.04,1.52,28.746219841226157
1,226.375,1.415037452243268,37.46,25.19,1.51,30.915481187163028
1,225.34375,2.106162808835506,38.79,26.3,1.52,29.717814174236324
1,223.078125,1.887374448589981,38.66,26.54,1.52,29.0
1,223.875,1.849841803312302,38.8,26.35,1.52,29.09077380302197
1,222.375,1.586831205421024,39.55,26.69,1.51,29.984123936744176
1,222.40625,2.074013280682266,39.65,26.79,1.51,29.411339129720865
1,222.171875,1.679442567750812,38.0,27.41,1.5,28.0
1,223.15277777777777,1.956389532321029,38.96,25.64,1.5,27.894801394927384
1,224.28125,2.392462398856878,38.47,24.35,1.5,28.25750926774157
1,228.68055555555557,1.886667651434739,39.42,26.98,1.52,31.580831667566937
1,228.296875,2.399039489217103,40.05,27.63,1.53,31.353548873864256
1,228.41666666666663,2.221220496628019,40.26,27.32,1.53,31.298705867056565
1,229.015625,2.654684582725167,40.35,27.0,1.54,31.508386786478535
1,227.5625,2.573233891278505,40.05,26.84,1.53,31.64200614257006
1,229.921875,2.067549501545727,38.52,27.87,1.51,30.50950516902448
1,228.96875,1.700664835982025,38.18,27.85,1.51,32.68345070513326
1,230.296875,2.43652405589819,38.29,28.31,1.51,33.0
1,229.11111111111111,1.342844289210108,37.95,27.38,1.51,31.279695529003135
1,226.359375,1.823297740891576,37.07,27.54,1.53,30.007681387678687
0,228.33333333333331,1.806772338019477,11.26,8.08,0.47,8.797238994347088
1,228.390625,1.928298780694604,28.53,20.27,1.17,22.990133945005923
1,229.234375,1.550041675567627,38.57,25.85,1.5,29.77915350001948
1,229.93055555555557,2.162053298619059,37.4,27.73,1.51,31.000000000000004
1,228.609375,1.697712603956461,37.31,27.65,1.51,31.0
1,229.5625,1.903296694159508,37.41,27.19,1.51,30.625423226119505
1,231.0625,2.410862304270267,37.34,26.7,1.51,30.417617012599315
1,229.625,1.529435743577778,36.84,27.43,1.52,32.0
1,228.03125,2.69155023060739,37.2,27.44,1.52,33.0
1,229.40277777777777,2.664318319824007,38.04,26.98,1.52,32.0601216208407
1,228.859375,1.587073395960033,38.29,26.58,1.53,30.620858341257
1,229.72222222222223,1.644722406235006,38.52,26.58,1.53,31.0
1,230.625,2.074037851765752,38.25,27.22,1.53,32.82421450718104
1,227.796875,1.44378188252449,38.64,26.35,1.51,31.0
1,227.0,1.714205889031291,38.92,26.3,1.52,30.01718173455144
1,219.5625,1.630309507898662,38.84,26.01,1.53,30.58238298740005
1,229.11111111111111,1.885674599144194,39.31,27.31,1.51,31.0
1,228.84375,1.628047853708267,38.89,28.67,1.51,30.829369123396877
